,Unnamed: 0,avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,age,gender,marital_status,department_D00-AD,department_D00-ENG,department_D00-FN,department_D00-IT,department_D00-MN,department_D00-MT,department_D00-PD,department_D00-PR,department_D00-SP,department_D00-SS
0,0,246.0,0.0,0.866838,6,0.0,2,0.134415,1,4.0,42,1,1,0,0,0,0,0,0,0,0,0,0
1,1,134.0,0.0,0.555718,2,0.0,1,0.511041,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,0
2,2,156.0,1.0,0.474082,2,0.0,2,0.405101,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,1
3,3,256.0,0.0,0.96136,6,0.0,1,0.152974,1,4.0,51,1,1,0,0,0,0,0,0,0,0,1,0
4,4,146.0,0.0,0.507349,2,0.0,2,0.434845,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
5,5,135.0,0.0,0.482184,2,0.0,1,0.381545,1,3.0,23,1,0,0,0,0,0,0,1,0,0,0,0
6,6,270.0,0.0,0.867087,6,0.0,1,0.172575,1,4.0,24,1,0,0,0,0,0,0,0,1,0,0,0
7,7,244.0,0.0,0.926197,6,0.0,2,0.0618684,1,5.0,29,1,1,0,0,0,1,0,0,0,0,0,0
8,8,289.0,0.0,0.929858,7,0.0,1,0.161744,1,4.0,36,1,1,0,0,0,1,0,0,0,0,0,0
9,9,281.0,0.0,0.907965,6,0.0,2,0.105749,1,4.0,50,1,1,0,0,0,0,0,0,0,0,0,1
10,10,269.0,0.0,0.867086,6,0.0,1,0.121133,1,4.0,29,0,0,0,0,0,0,0,0,0,0,1,0
11,11,267.0,0.0,0.953585,5,0.0,1,0.87131,1,6.0,23,1,0,0,0,0,0,0,0,0,0,1,0
12,12,257.0,0.0,0.886631,5,0.0,1,0.265318,1,5.0,36,0,1,1,0,0,0,0,0,0,0,0,0
13,13,155.0,0.0,0.521682,2,0.0,1,0.387475,1,3.0,22,1,0,0,0,0,0,0,1,0,0,0,0
14,14,269.0,0.0,0.959077,4,0.0,2,0.960757,1,5.0,25,1,0,0,0,0,0,0,0,0,0,0,1
15,15,244.0,0.0,0.943946,7,0.0,2,0.171328,1,4.0,44,1,1,0,0,0,0,1,0,0,0,0,0
16,16,256.0,0.0,0.897617,5,0.0,2,0.753731,1,5.0,24,1,0,0,0,0,0,0,0,0,0,0,1
17,17,128.0,0.0,0.504768,2,0.0,2,0.485149,1,3.0,22,1,0,0,0,0,0,0,0,0,0,0,1
18,18,274.0,0.0,1.0,5,0.0,1,0.799562,1,5.0,24,1,0,0,0,0,0,0,0,1,0,0,0
19,19,155.0,0.0,0.440299,2,0.0,1,0.415771,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,1
20,20,151.0,0.0,0.448019,2,0.0,1,0.42688,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,1
21,22,151.0,0.0,0.531487,2,0.0,1,0.390047,1,3.0,33,0,1,0,0,0,0,0,1,0,0,0,0
22,23,132.0,0.0,0.566959,5,0.0,1,0.293481,1,5.0,25,1,0,0,0,0,0,0,0,0,0,0,1
23,24,128.0,0.0,0.499776,2,0.0,1,0.335383,1,3.0,25,0,0,0,1,0,0,0,0,0,0,0,0
24,25,155.0,0.0,0.464598,2,0.0,2,0.414451,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,0
25,26,309.0,0.0,0.78484,6,0.0,1,0.0785233,1,4.0,52,1,1,0,1,0,0,0,0,0,0,0,0
26,27,130.0,0.0,0.463049,2,0.0,1,0.401826,1,3.0,24,1,0,0,0,0,0,0,1,0,0,0,0
27,29,233.0,0.0,0.936729,4,0.0,1,0.899675,1,6.0,23,1,0,0,1,0,0,0,0,0,0,0,0
28,30,245.0,0.0,0.877779,5,0.0,1,0.904697,1,5.0,28,0,0,0,1,0,0,0,0,0,0,0,0
29,31,149.0,0.0,0.505405,2,0.0,1,0.451832,1,3.0,43,1,1,1,0,0,0,0,0,0,0,0,0
30,32,232.0,0.0,0.911595,4,0.0,2,0.805368,1,5.0,24,1,0,0,1,0,0,0,0,0,0,0,0
31,33,134.0,0.0,0.442766,2,0.0,2,0.379221,1,3.0,22,1,0,0,0,0,0,0,1,0,0,0,0
32,34,249.0,0.0,0.847301,4,0.0,1,0.909059,1,6.0,23,1,0,0,0,0,0,0,1,0,0,0,0
33,35,257.0,0.0,0.889916,5,0.0,1,0.857449,1,5.0,23,1,0,0,0,0,0,0,0,0,0,0,1
34,36,164.0,0.0,0.681106,3,0.0,1,0.765486,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
